Datetime,Username,Text,Clean_Text,Preprocess_Text
2022-06-19 23:59:52+00:00,vaneshaasya,Selamat hari senin. Tetap semangat menjalani hidup yg penuh dg lika liku ini bestai🤗,selamat hari senin tetap semangat menjalani hidup yg penuh dg lika liku ini bestai,"['selamat', 'senin', 'semangat', 'jalan', 'hidup', 'penuh', 'dg', 'lika', 'liku', 'bestai']"
2022-06-19 23:59:52+00:00,KubuPolsek,"Pelayanan Keamanan, Bhabinkamtibmas Desa Tianyar Timur Aiptu I Nyoman Tusan melaksanakan giat pengamanan dan pengaturan lalulintas di Pasar Desa Adat Tianyar Timut Ds. Tianyar Kubu Karangasem, Senin (20/06) https://t.co/DxLveezt6m",pelayanan keamanan bhabinkamtibmas desa tianyar timur aiptu i nyoman tusan melaksanakan giat pengamanan dan pengaturan lalulintas di pasar desa adat tianyar timut ds tianyar kubu karangasem senin,"['layan', 'aman', 'bhabinkamtibmas', 'desa', 'tianyar', 'timur', 'aiptu', 'i', 'nyoman', 'tus', 'laksana', 'giat', 'aman', 'atur', 'lalulintas', 'pasar', 'desa', 'adat', 'tianyar', 'timut', 'ds', 'tianyar', 'kubu', 'karangasem', 'senin']"
2022-06-19 23:59:51+00:00,Yosandewi,Selamat hari senin 🫶,selamat hari senin,"['selamat', 'senin']"
2022-06-19 23:59:49+00:00,reysd0minstion,selamat hari senin ckep,selamat hari senin ckep,"['selamat', 'senin', 'ckep']"
2022-06-19 23:59:44+00:00,marchwrj,selamat hari senin semoga harimu selalu bigwin,selamat hari senin semoga harimu selalu bigwin,"['selamat', 'senin', 'moga', 'hari', 'bigwin']"
2022-06-19 23:59:43+00:00,ancritbg,@devanya__ slmt senin,slmt senin,"['slmt', 'senin']"
2022-06-19 23:59:38+00:00,sharr_f,"Pagiku di hari senin, ngedit list konteeeenn😭",pagiku di hari senin ngedit list konteeeenn,"['pagi', 'senin', 'ngedit', 'list', 'konteeeenn']"
2022-06-19 23:59:38+00:00,seungminsedih,senin pagi yang cerah karena hari ini aku ga ada kelas alias libur😁😆😉😉😍☝️😳😅😆😚😚💕❤️‍🔥🥺🤝🙇‍♀️🙇‍♀️,senin pagi yang cerah karena hari ini aku ga ada kelas alias libur,"['senin', 'pagi', 'cerah', 'ga', 'kelas', 'alias', 'libur']"
2022-06-19 23:59:35+00:00,zalvinprakoso,"Mensyukuri nikmat, Alhamdulilah, di hari Senin masih punya tujuan untuk mencari nafkah.. #syukurtiadatara #nikmatipagi https://t.co/kqSL8kNvRQ",mensyukuri nikmat alhamdulilah di hari senin masih punya tujuan untuk mencari nafkah,"['syukur', 'nikmat', 'alhamdulilah', 'senin', 'tuju', 'cari', 'nafkah']"
2022-06-19 23:59:34+00:00,gataupenkaya,"yak senin, dan juga hari yang dituntukan untuk...",yak senin dan juga hari yang dituntukan untuk,"['yak', 'senin', 'dituntukan']"
2022-06-19 23:59:34+00:00,ridawatijs,"Tiap senin di stasiun cikarang selalu baris atau antri masuk kereta. Alasan petugasnya biar kereta ga penuh jadi dibatasi, lah kereta penuh bukan di stasiun cikarang kali tapi di stasiun berikutnya.

#stasiunCikarang #Cikarang",tiap senin di stasiun cikarang selalu baris atau antri masuk kereta alasan petugasnya biar kereta ga penuh jadi dibatasi lah kereta penuh bukan di stasiun cikarang kali tapi di stasiun berikutnya,"['senin', 'stasiun', 'cikarang', 'baris', 'antri', 'masuk', 'kereta', 'alas', 'tugas', 'biar', 'kereta', 'ga', 'penuh', 'batas', 'kereta', 'penuh', 'stasiun', 'cikarang', 'kali', 'stasiun']"
2022-06-19 23:59:31+00:00,raaaaaadoanggg,@itsmeawaaa syudahh hari Senin lagii maniezzz,syudahh hari senin lagii maniezzz,"['syudahh', 'senin', 'lagi', 'maniezzz']"
